# 05/09/2022_06:52:19
# Current directory: /home/vanltt4/src/DeezyMatch-master
# ------------------
# Arguments:
# input_file_path: /home/vanltt4/src/DeezyMatch-master/models/transformer_cn/input_dfm_rnn.yaml
# dataset_path: /home/vanltt4/src/DeezyMatch-master/dataset/dataset-unfiltered.txt
# model_name: finetuned_trans_09052022
# pretrained_model_path: /home/vanltt4/src/DeezyMatch-master/models/transformer_cn/transformer_cn.model
# pretrained_vocab_path: /home/vanltt4/src/DeezyMatch-master/models/transformer_cn/transformer_cn.vocab
# n_train_examples: None
# ------------------
05/14/2022_08:23:49 -- Epoch: 0/0; Test; loss: 1.365; acc: 0.000; precision: 0.000, recall: 0.000, macrof1: 0.000, weightedf1: 0.000
05/14/2022_08:23:51 -- Epoch: 0/0; Test; loss: 1.731; acc: 0.400; precision: 0.000, recall: 0.000, macrof1: 0.286, weightedf1: 0.571
05/14/2022_08:23:53 -- Epoch: 0/0; Test; loss: 0.238; acc: 1.000; precision: 0.000, recall: 0.000, macrof1: 1.000, weightedf1: 1.000
05/14/2022_08:23:56 -- Epoch: 0/0; Test; loss: 0.173; acc: 1.000; precision: 0.000, recall: 0.000, macrof1: 1.000, weightedf1: 1.000
05/14/2022_08:23:58 -- Epoch: 0/0; Test; loss: 0.823; acc: 0.400; precision: 0.000, recall: 0.000, macrof1: 0.286, weightedf1: 0.571
05/14/2022_08:24:00 -- Epoch: 0/0; Test; loss: 0.509; acc: 0.800; precision: 0.000, recall: 0.000, macrof1: 0.444, weightedf1: 0.889
05/14/2022_08:24:02 -- Epoch: 0/0; Test; loss: 0.658; acc: 0.400; precision: 0.000, recall: 0.000, macrof1: 0.286, weightedf1: 0.571
05/14/2022_08:24:04 -- Epoch: 0/0; Test; loss: 0.877; acc: 0.200; precision: 0.000, recall: 0.000, macrof1: 0.167, weightedf1: 0.333
05/14/2022_08:24:07 -- Epoch: 0/0; Test; loss: 0.987; acc: 0.600; precision: 0.000, recall: 0.000, macrof1: 0.375, weightedf1: 0.750
05/14/2022_08:24:09 -- Epoch: 0/0; Test; loss: 0.151; acc: 1.000; precision: 0.000, recall: 0.000, macrof1: 1.000, weightedf1: 1.000
05/14/2022_08:28:15 -- Epoch: 0/0; Test; loss: 0.268; acc: 1.000; precision: 0.000, recall: 0.000, macrof1: 1.000, weightedf1: 1.000
05/14/2022_08:28:17 -- Epoch: 0/0; Test; loss: 1.922; acc: 0.400; precision: 0.000, recall: 0.000, macrof1: 0.286, weightedf1: 0.571
05/14/2022_08:28:19 -- Epoch: 0/0; Test; loss: 0.290; acc: 1.000; precision: 0.000, recall: 0.000, macrof1: 1.000, weightedf1: 1.000
05/14/2022_08:31:02 -- Epoch: 0/0; Test; loss: 0.268; acc: 1.000; precision: 0.000, recall: 0.000, macrof1: 1.000, weightedf1: 1.000
05/14/2022_08:31:04 -- Epoch: 0/0; Test; loss: 0.614; acc: 0.800; precision: 0.000, recall: 0.000, macrof1: 0.444, weightedf1: 0.889
05/14/2022_08:34:23 -- Epoch: 0/0; Test; loss: 0.614; acc: 0.800; precision: 0.000, recall: 0.000, macrof1: 0.444, weightedf1: 0.889
05/14/2022_08:34:58 -- Epoch: 0/0; Test; loss: 0.614; acc: 0.800; precision: 0.000, recall: 0.000, macrof1: 0.444, weightedf1: 0.889
05/14/2022_08:35:37 -- Epoch: 0/0; Test; loss: 0.614; acc: 0.800; precision: 0.000, recall: 0.000, macrof1: 0.444, weightedf1: 0.889
05/14/2022_08:37:12 -- Epoch: 0/0; Test; loss: 0.385; acc: 0.857; precision: 1.000, recall: 0.500, macrof1: 0.788, weightedf1: 0.840
05/14/2022_08:39:23 -- Epoch: 0/0; Test; loss: 0.403; acc: 0.765; precision: 0.000, recall: 0.000, macrof1: 0.433, weightedf1: 0.714
05/14/2022_08:39:49 -- Epoch: 0/0; Test; loss: 0.358; acc: 0.818; precision: 0.000, recall: 0.000, macrof1: 0.450, weightedf1: 0.777
05/14/2022_08:41:32 -- Epoch: 0/0; Test; loss: 0.295; acc: 0.917; precision: 1.000, recall: 0.500, macrof1: 0.810, weightedf1: 0.905
05/14/2022_08:47:10 -- Epoch: 0/0; Test; loss: 1.555; acc: 0.714; precision: 0.650, recall: 0.929, macrof1: 0.699, weightedf1: 0.700
05/14/2022_08:50:00 -- Epoch: 0/0; Test; loss: 1.756; acc: 0.500; precision: 1.000, recall: 0.500, macrof1: 0.333, weightedf1: 0.667
05/14/2022_08:52:18 -- Epoch: 0/0; Test; loss: 0.760; acc: 0.500; precision: 0.000, recall: 0.000, macrof1: 0.333, weightedf1: 0.667
05/14/2022_08:53:10 -- Epoch: 0/0; Test; loss: 1.555; acc: 0.714; precision: 0.650, recall: 0.929, macrof1: 0.699, weightedf1: 0.700
05/14/2022_09:05:30 -- Epoch: 0/0; Test; loss: 0.760; acc: 0.500; precision: 0.000, recall: 0.000, macrof1: 0.333, weightedf1: 0.667
